param_clf__max_depth,param_clf__min_samples_leaf,param_clf__class_weight,mean_train_score,mean_test_score,std_test_score
8,10,,0.9503840404820995,0.862040585213679,0.028938387235063437
8,10,balanced,0.9661359532482849,0.8540390059498826,0.007528102531377936
12,10,,0.9687389060996235,0.8503473900157281,0.021642719223670746
,10,,0.970429380491946,0.8498981032389485,0.026498771376521537
12,10,balanced,0.978981817464365,0.8364859392298097,0.01246633610661299
5,10,,0.8802566406404237,0.8361032495968093,0.026302796240131255
8,50,balanced,0.8889016466610056,0.8354346210853443,0.016558094773487103
12,50,balanced,0.8895532255822344,0.8344805707608793,0.01626909840729125
,50,balanced,0.8895532255822344,0.8344805707608793,0.01626909840729125
12,50,,0.8935812197258244,0.8331562840908381,0.0357207964259252
8,50,,0.8896198629960894,0.8329954426318699,0.03621442611919655
,10,balanced,0.9791867412588371,0.8328712120617157,0.012164972612576708
,50,,0.8935809704301245,0.8314910685020482,0.03303222923688046
5,50,,0.851713032006636,0.8168158840837476,0.03791483103884973
5,1,,0.8751181445626841,0.8158897933514073,0.03802906222717479
5,50,balanced,0.8504162371949301,0.8006919539586954,0.03464647603340019
5,10,balanced,0.8678556879139767,0.7964970285504298,0.02314322772952559
8,1,,0.9608096486163691,0.7854878487841928,0.024411746729558488
5,1,balanced,0.8494443437638614,0.7754603690258263,0.022650051928985986
8,1,balanced,0.9635948975739795,0.7723347861243903,0.03468592755616883
12,1,balanced,0.9904635451052423,0.7406050232134913,0.039704441912106085
12,1,,0.9914884232062292,0.706462930987929,0.026706167708629266
12,200,,0.6979922767024181,0.6839742127002254,0.028759028167817644
,200,,0.6979922767024181,0.6839742127002254,0.028759028167817644
8,200,,0.6970845576285898,0.6829705086032136,0.029298064527261723
3,50,,0.7011802800806131,0.6817927954148416,0.033215128325828236
,1,,1.0,0.6814186083528675,0.03383703772828501
3,10,,0.7041951510868795,0.6813473823460979,0.038418330174247305
3,1,,0.7041951510868795,0.6813473823460979,0.038418330174247305
,1,balanced,1.0,0.6795851753244381,0.03328911594515639
5,200,,0.687114583133523,0.6787750634649043,0.03321439409256483
8,200,balanced,0.6986500948174055,0.6662442536160798,0.03889055391412685
12,200,balanced,0.6986679664880434,0.6662115003860628,0.03886251918732328
,200,balanced,0.6986679664880434,0.6662115003860628,0.03886251918732328
5,200,balanced,0.6969890344746716,0.6657136801987994,0.03823575973690511
3,200,,0.641786624392662,0.6373872185728657,0.030329452296265703
3,50,balanced,0.6049237142922728,0.5853951670302713,0.04425754516100051
3,10,balanced,0.6049237142922728,0.5853951670302713,0.04425754516100051
3,1,balanced,0.6049237142922728,0.5853951670302713,0.04425754516100051
3,200,balanced,0.5865580079388443,0.5663213943937087,0.04680514332248713
