,OLS,Ridge,Lasso
PolicPerPop,181585.31514417139,-0.7045575518627512,-0.0
LemasSwFTPerPop,-181554.07783594963,-0.7137741166849256,-0.0
PctPersOwnOccup,-769.4805653555561,-9.81799238571478,-0.0
PctHousOwnOcc,658.2071247784019,0.9991298640348649,0.0
TotalPctDiv,-481.41401077304175,9.262373383588438,0.0
PctKids2Par,-385.8222420466934,-48.34779331204551,-194.87821545949805
numbUrban,-337.4224796174459,-0.6558156385847508,-0.0
NumUnderPov,-280.44170557585187,-9.123230430492384,-0.0
MalePctDivorce,266.125866780185,19.209105705904165,0.0
population,248.04902971203495,-1.2732384976414408,-0.0
NumKidsBornNeverMar,244.61020814421087,-5.576470598629323,-0.0
medIncome,-237.03916364716568,-1.79397569137568,-0.0
medFamInc,236.27897248497857,-5.680724946652681,-0.0
NumInShelters,210.7760744191706,26.787449857171076,76.15572648898245
LemasSwFTFieldOps,-189.0338921790119,-14.44945104902647,-9.473717250973362
PersPerOccupHous,187.56137149706058,7.503384763880165,0.0
PersPerRentOccHous,-177.86775523772934,10.257192782149463,0.0
agePct12t29,-175.59489408740512,-20.283726512282218,-61.45539445993402
PolicOperBudg,-171.8683996285848,-18.946628014123522,-75.50985188860314
PctForeignBorn,168.0227643906954,14.815039055813177,35.14891826635603
FemalePctDiv,163.46721047468833,2.4895283710234994,-0.0
PolicCars,156.83155469511217,20.092799677871454,26.512586811705464
perCapInc,-149.95712040729978,-5.7969139500922315,-0.0
PctPolicMinor,-135.21013246273176,2.1576844748153508,0.0
PctFam2Par,130.34478324731103,-32.867131231995614,-0.0
NumStreet,122.19757018407395,18.562840071360476,0.0
OfficAssgnDrugUnits,-119.06579293977487,2.208393185612586,-0.0
PctPersDenseHous,115.0988979517104,23.061808707736468,47.36852103875805
PctPolicHisp,114.11933292341868,7.53829987068371,9.5589557609901
whitePerCap,108.97014405174582,12.719489338415617,-0.0
PctPolicBlack,108.36848872683588,11.076986724392713,0.0
MedRent,107.72300615432607,0.5229044699922433,-0.0
PctRecImmig5,104.98634529214794,4.191805897371331,0.0
pctWInvInc,-103.22179866315913,-26.751853575370593,-42.94657075965832
OwnOccMedVal,99.0013814445788,-3.9229623317850333,-0.0
LemasSwornFT,96.03374392901223,-12.81564406300209,-0.0
PctNotSpeakEnglWell,-91.91177509148572,1.8867018990494624,0.0
LemasSwFTFieldPerPop,-81.1044858553889,-3.831557720697105,-0.0
PctRecImmig8,-74.44520322374858,5.464688207162141,0.0
pctWPubAsst,-72.60304060202922,-8.234393768740656,-9.545553002020604
OwnOccLowQuart,-71.2622148340763,-5.279309102782828,-0.0
PctHousLess3BR,68.26322631876533,12.815792686167468,16.009155170941966
PctWorkMom,-68.17048281114265,-7.949653708892767,-5.951162354454445
agePct65up,-67.75378592608466,6.922038940260895,0.0
pctWSocSec,67.2214141377637,6.183372074885517,0.0
PctRecentImmig,-66.36544249890557,1.1260872114888731,0.0
LemasTotalReq,65.94796219734687,2.467372627097343,-0.0
PctLargHouseOccup,-65.26224485536157,-1.5218666041163147,-0.0
PctEmploy,64.169995074912,3.33591941906539,0.0
PctRecImmig10,-63.2642458383721,9.503864262240262,0.0
PctVacantBoarded,61.312882645942075,38.276920158288505,42.79024113768841
OwnOccHiQuart,-58.88500333661574,-2.8268204615536137,-0.0
pctWWage,-58.673567455903864,-6.272086831700894,-0.0
MalePctNevMarr,58.413845507087956,7.264477926777174,-0.0
PctLess9thGrade,-55.62743437061009,-3.5964472065762396,-0.0
RentLowQ,-51.55409150541251,-15.642533971916727,-18.02949058939413
MedOwnCostPctIncNoMtg,-51.22201698148262,-28.81643525333392,-37.16349174865309
pctUrban,46.349719363553774,26.270637413410274,26.413378402544815
HousVacant,-45.9287241140497,-0.9753676732259777,-0.0
agePct16t24,-44.495978360765704,-12.303153203524221,-0.0
PctLargHouseFam,-42.66698095165914,4.0937042987132655,-0.0
PctVacMore6Mos,-42.329605504637826,-10.418238082116645,-5.027061987251227
PctEmplProfServ,40.81001187037228,3.3680901089953537,-0.0
PctBSorMore,39.482088069877975,-7.163143577997171,-0.0
PctKidsBornNeverMar,37.49927367795267,59.36528836449293,101.10019567584231
PctHousNoPhone,-37.17313309772308,8.701721506264095,0.0
PctHousOccup,-36.616373534018265,-24.371791552882762,-25.830375172258005
pctWRetire,-36.23405051308416,-14.210667934584434,-12.290317116006687
RentHighQ,-36.03474995223617,-3.0776712983327945,-0.0
RacialMatchCommPol,-32.071533147814606,-35.89932883980443,-39.748099464408334
racePctWhite,-31.97490152140861,-48.47331572942872,-8.133471335352809
agePct12t21,31.312075412341997,-8.422006582536344,-0.0
PctWorkMomYoungKids,30.829830555075862,4.011054236582009,-0.0
OwnOccQrange,-28.643151741605923,1.6968097542370308,-0.0
RentMedian,-28.535386631194406,-6.241760987838784,-0.0
NumImmig,28.427655999653254,7.962580440637627,0.0
racepctblack,28.076615783237074,57.23560483085627,79.06317253227118
PolicBudgPerPop,27.172122015441943,-0.7804559262366632,-0.0
PctImmigRec10,27.12725696984248,14.136850558742958,17.38697938565275
PctYoungKids2Par,-27.038607813036187,-34.22509896294617,-0.0
PctUnemployed,-26.560045275705775,-19.796523599813217,-34.74736036148152
MedNumBR,24.97531518962298,1.7013225108658458,-0.0
AsianPerCap,24.438364658132144,18.238823746935005,17.58277808962909
householdsize,22.019462160746393,1.7284242550214663,0.0
PctOccupMgmtProf,-21.36905894048794,-4.164296566554339,-0.0
PolicReqPerOffic,20.424694426270975,19.114606273864723,24.731700899342428
racePctAsian,-19.28197400683628,-7.361966934986101,-0.0
PctSpeakEnglOnly,-18.950215474999407,1.4857962738424009,-0.0
PctImmigRec8,18.85951861094317,7.431252963078569,0.0
PctBornSameState,16.11428429607622,-2.891691889886286,0.0
PctSameCity85,15.602672306543397,12.567191209512895,0.0
PctEmplManu,-15.456040883731902,-19.188864682784832,-22.881480506033167
LemasGangUnitDeploy,15.249106462430767,9.681007938042162,6.1618758473700215
MedYrHousBuilt,14.999193993713419,18.644603436762118,10.429215031285114
HispPerCap,14.206592071797203,9.109070133289606,0.032783378219212435
PctPolicAsian,13.690424045856275,15.726765862990227,17.622548851204133
PersPerOwnOccHous,13.448675602938543,-13.829189090492681,-0.0
MedRentPctHousInc,-13.172098722239237,1.4582540384834517,-0.0
PctImmigRec5,-12.50729895126743,2.236998872255403,0.0
PctWOFullPlumb,-11.887390213614133,-7.001343278590686,-4.332187084903344
PctSameState85,11.775744072712811,3.9410203890177393,0.0
MedOwnCostPctInc,11.299654894690612,8.394720571049918,0.0
PopDens,-10.987416396024296,1.5774454453042974,0.0
