Age,Account_Duration_Months,Num_Transactions,Subscription_Type,Region,Payment_Method,Previous_Expenditure,Monthly_Expenditure
56,11,13,Basic,South,Bank Transfer,79.52,53.17
69,85,13,Premium,North,Auto-Pay,70.43,105.09
46,26,18,Premium,South,Auto-Pay,152.39,106.72
32,63,32,Basic,South,Credit Card,91.91,84.68
60,89,32,Premium,East,Credit Card,26.63,123.29
25,86,35,Premium,North,Digital Wallet,63.73,118.2
78,59,39,Standard,West,Bank Transfer,89.53,107.78
38,27,46,Basic,East,Auto-Pay,65.58,99.19
56,49,29,Standard,West,Digital Wallet,73.12,89.98
75,77,49,Standard,West,Auto-Pay,65.82,98.18
36,33,29,Basic,North,Credit Card,17.88,80.9
40,98,44,Basic,South,Auto-Pay,131.05,105.95
28,105,16,Standard,North,Bank Transfer,123.49,56.64
28,99,44,Basic,West,Bank Transfer,134.14,133.14
41,1,47,Standard,East,Credit Card,46.54,134.43
70,21,10,Premium,West,Bank Transfer,66.17,94.24
53,112,30,Premium,East,Bank Transfer,127.73,126.7
57,55,25,Basic,East,Digital Wallet,123.93,83.78
41,6,39,Premium,North,Auto-Pay,106.2,148.91
20,92,20,Basic,West,Credit Card,76.58,68.99
39,81,5,Basic,South,Credit Card,183.46,46.89
70,69,1,Standard,West,Credit Card,74.56,69.36
19,95,30,Basic,West,Credit Card,96.57,74.75
41,5,49,Basic,South,Credit Card,138.84,124.55
61,102,3,Standard,North,Bank Transfer,113.17,54.96
47,3,45,Basic,West,Digital Wallet,75.91,133.01
55,53,14,Basic,West,Credit Card,92.77,66.01
19,23,30,Standard,East,Digital Wallet,160.95,144.7
77,101,4,Standard,West,Digital Wallet,62.84,69.21
38,53,18,Standard,South,Bank Transfer,37.03,67.72
50,37,37,Basic,East,Credit Card,69.5,98.38
29,74,25,Standard,North,Bank Transfer,171.41,115.47
75,74,48,Basic,East,Credit Card,26.91,104.27
39,83,1,Basic,South,Bank Transfer,198.42,60.78
78,17,46,Standard,South,Digital Wallet,112.79,138.96
61,85,15,Basic,East,Credit Card,197.12,63.19
42,78,9,Basic,North,Auto-Pay,188.41,51.08
66,73,15,Standard,East,Digital Wallet,96.03,70.67
44,110,49,Standard,North,Auto-Pay,47.71,124.39
76,1,24,Standard,East,Digital Wallet,41.33,83.32
59,51,4,Basic,South,Bank Transfer,55.6,25.58
45,45,12,Basic,West,Credit Card,144.93,71.29
77,77,37,Basic,West,Digital Wallet,61.86,92.03
33,4,37,Basic,North,Bank Transfer,74.87,90.41
32,62,43,Standard,North,Credit Card,95.27,117.29
79,65,6,Premium,North,Credit Card,183.51,105.94
79,113,39,Standard,South,Digital Wallet,45.98,99.25
64,104,46,Standard,East,Credit Card,10.96,125.05
79,32,24,Standard,South,Digital Wallet,21.42,74.72
68,34,11,Standard,West,Credit Card,181.91,89.7
61,92,13,Basic,North,Auto-Pay,133.03,82.45
72,95,34,Standard,East,Bank Transfer,61.88,99.89
69,72,25,Standard,West,Auto-Pay,43.67,99.03
74,39,7,Basic,West,Digital Wallet,65.91,50.91
20,26,4,Basic,West,Auto-Pay,31.81,35.51
54,34,8,Premium,South,Digital Wallet,188.89,118.2
68,54,20,Basic,North,Credit Card,159.0,76.11
24,118,29,Basic,West,Credit Card,97.85,79.79
38,3,45,Standard,North,Digital Wallet,174.34,128.97
26,50,46,Standard,South,Auto-Pay,57.4,119.41
56,12,10,Standard,West,Credit Card,146.25,72.71
35,65,43,Standard,South,Bank Transfer,172.67,144.22
21,54,34,Basic,South,Credit Card,77.79,63.32
42,108,26,Standard,North,Bank Transfer,153.92,109.96
77,5,41,Basic,West,Auto-Pay,66.06,99.3
31,94,49,Premium,South,Bank Transfer,66.78,158.02
67,94,3,Standard,West,Bank Transfer,30.34,64.69
75,57,6,Basic,North,Bank Transfer,93.61,43.36
26,17,5,Basic,South,Bank Transfer,148.65,54.16
43,112,5,Basic,North,Credit Card,188.64,37.35
70,47,47,Basic,West,Bank Transfer,124.72,107.72
19,23,23,Basic,West,Credit Card,174.0,91.82
37,79,49,Standard,North,Bank Transfer,166.27,124.22
45,101,9,Standard,East,Digital Wallet,42.94,64.11
64,85,35,Basic,South,Auto-Pay,102.31,82.92
77,14,20,Basic,West,Bank Transfer,32.22,57.35
24,66,49,Basic,West,Digital Wallet,139.61,108.23
61,75,42,Premium,South,Bank Transfer,190.48,149.66
78,51,35,Basic,North,Bank Transfer,36.05,86.44
25,103,18,Standard,North,Bank Transfer,149.44,90.07
64,38,17,Premium,North,Digital Wallet,130.13,125.57
52,64,24,Standard,East,Auto-Pay,120.88,106.27
31,98,3,Premium,East,Digital Wallet,84.12,103.37
34,38,32,Basic,West,Auto-Pay,77.48,82.92
53,50,35,Premium,North,Bank Transfer,18.6,143.16
67,98,38,Basic,South,Credit Card,51.4,76.35
57,82,13,Basic,West,Bank Transfer,12.88,55.19
21,30,47,Standard,South,Auto-Pay,120.47,135.13
19,79,25,Premium,West,Digital Wallet,30.11,115.76
79,91,9,Premium,East,Bank Transfer,175.87,119.17
23,51,4,Basic,West,Digital Wallet,109.4,32.03
71,63,14,Basic,East,Digital Wallet,142.94,51.63
59,98,37,Premium,West,Digital Wallet,88.06,162.18
21,52,34,Basic,North,Bank Transfer,116.51,87.5
71,38,11,Standard,South,Digital Wallet,189.11,86.22
46,97,41,Premium,North,Digital Wallet,25.72,124.43
35,88,3,Standard,West,Bank Transfer,58.25,37.21
43,79,28,Basic,West,Digital Wallet,158.2,86.82
61,30,29,Standard,West,Bank Transfer,28.76,86.76
51,119,9,Basic,East,Auto-Pay,24.38,39.73
27,106,3,Premium,South,Auto-Pay,78.69,88.7
79,51,25,Standard,South,Auto-Pay,27.51,115.45
53,81,34,Premium,West,Digital Wallet,121.16,137.76
31,5,12,Basic,West,Credit Card,52.99,66.46
48,29,42,Premium,East,Credit Card,180.18,182.13
65,4,9,Standard,North,Digital Wallet,158.87,89.62
32,10,15,Basic,North,Credit Card,142.94,62.72
25,56,40,Basic,South,Bank Transfer,127.22,84.0
31,17,25,Standard,East,Credit Card,174.06,110.89
40,74,5,Standard,West,Digital Wallet,52.38,69.58
77,17,11,Premium,South,Digital Wallet,175.89,137.71
74,84,34,Basic,East,Bank Transfer,160.0,87.3
79,88,24,Basic,North,Auto-Pay,152.15,79.85
57,69,15,Standard,East,Digital Wallet,116.64,71.52
38,34,38,Basic,North,Bank Transfer,56.79,79.82
33,6,8,Standard,East,Credit Card,90.47,75.19
62,53,5,Premium,South,Credit Card,160.78,96.57
35,66,48,Premium,North,Bank Transfer,16.04,136.26
64,77,26,Premium,South,Bank Transfer,158.59,145.55
70,107,18,Standard,South,Digital Wallet,55.61,84.25
41,43,6,Basic,North,Credit Card,37.42,40.86
43,112,37,Standard,North,Bank Transfer,31.98,94.61
42,75,48,Standard,West,Credit Card,15.18,131.89
77,115,13,Premium,West,Bank Transfer,109.48,109.95
77,111,28,Basic,West,Credit Card,51.47,102.13
77,23,5,Standard,South,Auto-Pay,197.99,82.98
62,55,13,Basic,South,Digital Wallet,119.14,32.47
58,80,17,Standard,West,Credit Card,36.2,45.3
46,95,40,Premium,South,Auto-Pay,140.86,160.92
32,75,45,Standard,South,Credit Card,180.57,151.79
62,118,32,Basic,North,Credit Card,151.58,84.43
18,16,29,Premium,North,Auto-Pay,24.52,143.29
42,8,3,Standard,South,Credit Card,180.22,93.59
24,4,40,Basic,West,Credit Card,160.85,107.85
26,104,34,Basic,East,Digital Wallet,40.08,84.79
41,4,40,Basic,West,Auto-Pay,19.84,95.76
18,56,27,Basic,East,Auto-Pay,115.89,101.46
61,25,13,Premium,West,Bank Transfer,39.65,106.68
25,67,45,Standard,North,Credit Card,168.57,136.29
41,96,33,Premium,South,Digital Wallet,78.08,141.33
28,67,6,Basic,South,Credit Card,183.45,64.37
68,27,24,Basic,North,Credit Card,117.48,88.11
34,93,19,Standard,East,Bank Transfer,44.71,58.07
25,32,16,Basic,East,Credit Card,36.52,54.52
52,50,40,Standard,East,Digital Wallet,119.53,126.05
52,61,28,Premium,North,Digital Wallet,154.76,136.94
50,51,33,Standard,East,Bank Transfer,158.49,125.18
76,19,48,Standard,North,Credit Card,62.39,148.21
22,21,41,Basic,West,Digital Wallet,48.81,91.58
59,5,13,Basic,West,Credit Card,13.18,52.73
56,82,43,Basic,North,Credit Card,139.05,127.43
