,OLS,Ridge (a=100),Lasso (a=100)
TotalAssets,-1127.6527918196284,-775.3434232214215,-13.082555264827407
NetWorth,1040.8777155258194,685.134613045325,-0.0
HomeOwnershipStatus_Own,909.8135050322595,851.0569354492928,48.940272565885394
MonthlyIncome,-848.8148274548987,-524.5074880181548,-0.0
EmploymentStatus_Unemployed,815.2765392647976,734.0635480569035,0.0
AnnualIncome,811.635949367279,488.00920046571974,-0.0
HomeOwnershipStatus_Other,749.9517155643629,675.8494052728937,0.0
Experience,-574.9408419835222,-427.4503493810405,-44.66478202701155
Age,458.83050330585417,313.2380143698595,-0.0
MaritalStatus_Married,-418.00291773941893,-377.31048718177715,-0.0
MonthlyDebtPayments,341.71288568748383,339.01860465685326,243.76132967055753
LoanPurpose_Home,-330.22107761637716,-306.9277421233298,-0.0
HomeOwnershipStatus_Rent,325.226907469229,289.0722550979683,-0.0
EmploymentStatus_Self-Employed,313.31365496460796,281.9541301353472,0.0
MaritalStatus_Single,-308.64638710349436,-266.97068614660014,0.0
LoanPurpose_Debt Consolidation,-289.4238430567749,-264.32534964269075,-0.0
MaritalStatus_Widowed,-165.1770663980427,-114.17016362909335,0.0
UtilityBillsPaymentHistory,-164.3080177048357,-164.48731443522365,-60.47103814239581
EducationLevel_High School,162.5814001567404,153.19662118602696,0.0
DebtToIncomeRatio,-143.20091609838667,-142.66084304150496,-39.083745663439004
LoanPurpose_Education,123.85249734656455,135.0781303574475,0.0
EducationLevel_Master,-106.41140226101835,-101.82737787821411,-0.0
LoanPurpose_Other,-102.234316058561,-76.52540689917362,0.0
NumberOfCreditInquiries,-98.61428705765505,-98.44407509126802,-0.0
EducationLevel_Doctorate,90.90694713397204,77.14449997611807,0.0
EducationLevel_Bachelor,79.67629993770738,75.88359720681856,0.0
NumberOfDependents,-76.44765793052427,-76.804475959674,-0.0
CreditScore,-72.66267116127122,-73.98982114643155,-5.723094686266594
PreviousLoanDefaults,-69.47126751266767,-68.92803721712352,-0.0
JobTenure,68.55600197953787,67.84018648512843,0.0
CreditCardUtilizationRate,66.51076432704133,66.11521019702083,0.0
TotalLiabilities,66.36055026495661,17.99367283682322,-0.0
LoanDuration,-55.11107392976584,-54.39698847668891,-0.0
PaymentHistory,-50.887012774284884,-48.9868363208586,-0.0
CheckingAccountBalance,47.36359917416493,46.3151388682578,0.0
LengthOfCreditHistory,43.58660692081701,43.1904729345341,0.0
SavingsAccountBalance,-37.745746020035305,-38.809337611745114,-0.0
NumberOfOpenCreditLines,18.711131183037434,19.28508194960285,0.0
BankruptcyHistory,16.550932422373148,16.574432577985736,0.0
