,crime_rate
PctKidsBornNeverMar,0.6866645227634779
PctKids2Par,-0.6840592475204202
PctFam2Par,-0.649761955419987
racePctWhite,-0.6471642143036503
PctTeen2Par,-0.6169632119474218
PctYoungKids2Par,-0.6118838502202687
racepctblack,0.5905804806932204
pctWInvInc,-0.5345632807210242
FemalePctDiv,0.5130175845587994
TotalPctDiv,0.5110193948209442
pctWPubAsst,0.5076105899080514
PctPersOwnOccup,-0.49427233375039237
MalePctDivorce,0.4853630079794634
PctPopUnderPov,0.4782592430765223
PctHousNoPhone,0.4627253049339996
PctNotHSGrad,0.4557353893529317
PctHousLess3BR,0.44456775450148117
PctHousOwnOcc,-0.44302209161813594
PctVacantBoarded,0.43529267160222085
PctUnemployed,0.4266673036820303
