learner_id,course_title,course_category,rating,completion_status,timestamp,minutes_watched,courses_taken_before,rating_missing,rating_filled,engagement_ratio,is_completed,prior_completion_rate,experience_band,rating_filled_z,minutes_watched_z,courses_taken_before_z,engagement_ratio_z
101,Intro to Python,Data Science,4.5,completed,2026-01-05,320,0,0,4.5,0.634,1,0.0,new,0.9428090415820632,-0.36811325529750905,-1.1276677770445582,-0.5096278575259636
101,Data Viz,Data Science,4.0,completed,2026-04-21,275,2,0,4.0,2.292,1,1.0,light,0.23570226039551564,-0.4618779524015915,-0.24514516892273,1.0903441370043179
102,Data Viz,Data Science,,dropped,2026-01-11,45,3,1,4.0,0.375,0,0.0,regular,0.23570226039551564,-0.9411197376002354,0.19611613513818416,-0.7595631690961343
103,Intro to Python,Data Science,3.0,completed,2026-02-02,610,1,0,3.0,1.208,1,0.0,light,-1.1785113019775795,0.2361481260399114,-0.6864064729836441,0.04428283298090109
104,Deep Learning,AI/ML,5.0,completed,2026-02-14,1450,7,0,5.0,1.098,1,0.0,heavy,1.6499158227686108,1.9864224719827843,1.9611613513818407,-0.06186729934619831
105,Data Viz,Data Science,,in_progress,2026-03-01,90,2,1,4.0,0.75,0,0.0,light,0.23570226039551564,-0.8473550404961528,-0.24514516892273,-0.3976877179810223
106,SQL Basics,Databases,2.5,dropped,2026-03-08,30,0,0,2.5,0.5,0,0.0,new,-1.8856180831641272,-0.9723746366349295,-1.1276677770445582,-0.6389380187244303
107,Deep Learning,AI/ML,4.0,completed,2026-03-19,1180,5,0,4.0,0.894,1,0.0,regular,0.23570226039551564,1.4238342893582894,1.0786387432600124,-0.2587275447528193
108,SQL Basics,Databases,3.5,completed,2026-04-02,240,1,0,3.5,4.0,1,0.0,light,-0.47140452079103196,-0.5348060501492112,-0.6864064729836441,2.7385661916832817
109,Intro to Python,Data Science,4.0,completed,2026-04-15,505,4,0,4.0,1.0,1,0.0,regular,0.23570226039551564,0.01736383279705227,0.6373774391990983,-0.1564374172376143
110,SQL Basics,Databases,,in_progress,2026-05-03,60,1,1,3.0,1.0,0,0.0,light,-1.1785113019775795,-0.9098648385655411,-0.6864064729836441,-0.1564374172376143
111,Deep Learning,AI/ML,4.5,completed,2026-05-17,1320,6,0,4.5,1.0,1,0.0,heavy,0.9428090415820632,1.7155466803487682,1.5199000473209265,-0.1564374172376143
112,Data Viz,Data Science,3.5,dropped,2026-06-01,150,3,0,3.5,1.25,0,0.0,regular,-0.47140452079103196,-0.7223354443573762,0.19611613513818416,0.08481288350579366
