predictor,OLS,Ridge,shrunk %
M,109.20115856551347,64.37817009737631,41.04625725307331
So,-1.802273618256038,42.351322821365486,-2249.883080591645
Ed,208.42507375151797,74.16454571436559,64.41668731143945
Po1,566.8662419447684,124.46706845295788,78.04295630201152
Po2,-302.68575813435734,104.60441058558824,65.44125127315834
LF,-26.539496867285024,26.10274055137873,1.6456842346724287
M.F,50.74480878242642,67.65791205381697,-33.329721162034964
Pop,-27.60801734574861,10.3851790575416,62.383466630424934
NW,42.771567056376426,37.367660423785885,12.634343337170106
U1,-103.93194705363172,-33.39475048841897,67.86863766615825
U2,140.19866758349127,62.7281206377894,55.257691304067855
Wealth,91.79926257429244,31.981950674030514,65.16099391523133
Ineq,278.9382005611247,94.64453807078586,66.06971082469356
Prob,-109.21332499201634,-76.17545088927739,30.25077215179931
Time,-24.391732760173838,7.317193260426057,70.0013388455396
