,coef,std err,t,p-value,CI low,CI high,significant
journey_distance_km,9.537073034211502,0.5435587697073662,17.545615241100688,1.930286951359379e-61,8.470627248459959,10.603518819963046,yes
traffic_index,6.811164416634954,0.447557199959183,15.218533892999886,6.654765017247442e-48,5.933070792947874,7.689258040322033,yes
weather_score,1.8287235732616949,0.17030014448236275,10.738238530684793,9.856016788642008e-26,1.4945998657298107,2.162847280793579,yes
road_type_highway,-4.1117286937661195,0.5620510110311757,-7.315579214460396,4.712076949292579e-13,-5.214455694959177,-3.0090016925730616,yes
road_type_express,-3.034234032240671,0.46350350790546646,-6.546302197263016,8.765798025292238e-11,-3.943613827461264,-2.1248542370200783,yes
road_slope_pct,0.7583396762597789,0.165463604659776,4.583120728084382,5.066264796684251e-06,0.4337051128625649,1.082974239656993,yes
road_type_local,1.4755625880096936,0.40141785617139364,3.675876808478773,0.00024764751584042656,0.6879929545184124,2.263132221500975,yes
previous_journey_time_min,0.9069131785990941,0.37271830036397446,2.433240272112898,0.015111586519293221,0.1756512013346473,1.6381751558635411,yes
distance_proxy,-0.9316530693787117,0.4447761765977003,-2.0946559604548947,0.036413690558835775,-1.8042904097543717,-0.05901572900305163,yes
average_speed_kmh,0.31303956299831937,0.2599577514566817,1.2041939940016868,0.22875527870968168,-0.19698964444814915,0.8230687704447879,no
driver_experience_years,0.1539250871197011,0.1656224518115627,0.929373315248525,0.3528850860708804,-0.17102112956146748,0.4788713038008697,no
random_noise_feature,-0.13886082924550297,0.16504184599507402,-0.841367402359566,0.4003120351193027,-0.46266791496110815,0.1849462564701022,no
traffic_proxy,-0.22940229876297558,0.37246229226881084,-0.6159074449271041,0.5380739878450598,-0.9601619959255807,0.5013573983996296,no
time_of_day_hours,0.07894907167539078,0.16979103974117388,0.46497784450663115,0.6420328222999081,-0.25417578782753175,0.4120739311783133,no
passenger_rating,-0.021672499226370587,0.1651986449837684,-0.13119053869055655,0.895646867637782,-0.34578721979219307,0.30244222133945187,no
